"NormalisedOccupation","Occupation"
"Business","manager, power systems"
"Business","manager, public relations"
"Business","manager, salesman"
"Business","manager, Union Stage Line"
"Business","manager, word processing"
"Business","managing director"
"Business","manufacturer"
"Business","manufacturer and broker"
"Business","manufacturer and farmer"
"Business","manufacturer and importer"
"Business","manufacturer, farmer"
"Business","manufacturer's agent"
"Business","manufacturers agent"
"Business","manufacturers' agent importer"
"Business","manufacturing agent"
"Business","manufacturing consultant"
"Business","maple grove owner"
"Business","marble dealer"
"Business","marina operator"
"Business","market analyst"
"Business","market manager"
"Business","market research consultant"
"Business","market research--education"
"Business","market researcher"
"Business","market segment manager"
"Business","marketer"
"Business","marketer, businessperson"
"Business","marketing"
"Business","marketing & promotions"
"Business","marketing agent"
"Business","marketing analyst"
"Business","marketing and advertising consultant"
"Business","marketing and promotions"
"Business","marketing communications"
"Business","marketing consultant"
"Business","marketing coordinator"
"Business","marketing director"
"Business","marketing engineer"
"Business","marketing executive"
"Business","marketing manager"
"Business","marketing manager, farmer"
"Business","marketing representative"
"Business","marketing researcher"
"Business","marketing specialist"
"Business","marketing, advertising and sales consultant"
"Business","marketing/financial services"
"Business","marketing/general manager"
"Business","marriage counsellor"
"Business","medical salesman"
"Business","merchandiser - representative"
"Business","merchant"
"Business","merchant and designer"
"Business","merchant and electrician"
"Business","merchant and farmer"
"Business","merchant and insurance agent"
"Business","merchant and lumberman"
"Business","merchant and monetary expert"
"Business","merchant and ship owner"
"Business","merchant marine"
"Business","merchant miller"
"Business","merchant shipbuilder"
"Business","merchant tailor"
"Business","merchant, auctioneer"
"Business","merchant, author"
"Business","merchant, grocer"
"Business","merchant, sawmiller"
"Business","merchant, tailor"
"Business","merchant, trader"
"Business","micro enterprise consultant"
"Business","mill and tannery owner"
"Business","mill operator"
"Business","mill owner"
"Business","mill proprietor"
"Business","mine operator"
"Business","mining consultant"
"Business","mining developer"
"Business","mining executive"
"Business","mining exploration"
"Business","mortgage administrator"
"Business","mortgage broker"
"Business","mortgage consultant"
"Business","mortgage officer"
"Business","mortgage specialist"
"Business","mortgage/financial consultant"
"Business","mortician"
"Business","motel operator"
"Business","motel owner"
"Business","motel proprietor"
"Business","motor dealer"
"Business","multi media consultant"
"Business","music dealer"
"Business","music publishing coordinator"
"Business","mutual fund salesperson"
"Business","national m&s co-ordinator"
"Business","national promotion manager"
"Business","national sales manager"
"Business","national sales representative"
"Business","national union representative"
"Business","natural health counsellor"
"Business","new media executive"
"Business","newspaper owner"
"Business","newspaper publisher"
"Business","oil and gas consultant"
"Business","oil dealer"
"Business","oil distributor"
"Business","oil manager"
"Business","oil producer"
"Business","oil refiner"
"Business","oil salesman"
"Business","operations, sales"
"Business","organic inspector"
"Business","outdoor power products"
"Business","owner - computer programmer"
"Business","owner of employment service"
"Business","owner of International Mining"
"Business","owner of Seigniory of Berthier"
"Business","owner-manager Powerland Computers LTD"
"Business","owner-manager, furniture business"
"Business","owner-operator, bed and breakfast"
"Business","owner, Associated Cabs Ltd"
"Business","owner, manager"
"Business","owner, manufacturing company"
"Business","owner, operator"
"Business","owner, small business"
"Business","owner/operator"
"Business","owner/operator of a nursery school"
"Business","paper manufacturer"
"Business","papermaker"
"Business","partner"
"Business","pension trust officer"
"Business","periodicals publisher"
"Business","personal banker"
"Business","personnel consultant"
"Business","petroleum distributor"
"Business","petroleum producer"
"Business","pharmaceutical representative"
"Business","pharmaceuticals sales representative"
"Business","pharmacist - businessman"
"Business","plumbing and heating"
"Business","plumbing contractor"
"Business","poultry producer"
"Business","president"
"Business","president - engineer"
"Business","president (Winndell Homes)"
"Business","president & CEO"
"Business","president and general manager"
"Business","president and managing director"
"Business","president of Can-Ad"
"Business","president of Circle Bar Knitting Co."
"Business","president of lumber company"
"Business","president,  budget propane corp"
"Business","president, businessman"
"Business","president, chief executive officer"
"Business","president, Continental Seafoods Ltd."
"Business","president, general insurance agency"
"Business","president, H.D.L.C."
"Business","president, insurance agency"
"Business","president, Optimus Group"
"Business","president, owner"
"Business","president, People in Equal Participation"
"Business","president, S.H. Holdings"
"Business","president/business owner"
"Business","president/CEO"
"Business","president/CEO of Labrador Metis Nation"
"Business","president/chief executive officer"
"Business","president/proprietor printing & pub. co."
"Business","printer's representative"
"Business","printing consultant"
"Business","printing contractor"
"Business","printing estimator"
"Business","private banker"
"Business","private contractor"
"Business","private secretary"
"Business","produce dealer"
"Business","produce exporter"
"Business","produce manager"
"Business","produce merchant"
"Business","product consultant, MLCC"
"Business","productivity consultant"
"Business","productivity expert"
"Business","professional"
"Business","professional businessman"
"Business","professional planner"
"Business","professional safety consultant"
"Business","professional salesman"
"Business","professional speaker"
"Business","promoter"
"Business","promoter, publicist"
"Business","promoter/organizer"
"Business","promotion agent"
"Business","property assessor"
"Business","property coordinator"
"Business","property management"
"Business","property manager"
"Business","property manager - owner"
"Business","property manager-real estate sales"
"Business","property manager/computer consultant"
"Business","proprietor"
"Business","proprietor of small business"
"Business","prospector"
"Business","prospector, communications technician"
"Business","public affairs executive"
"Business","public relations director"
"Business","public relations executive"
"Business","public relations man"
"Business","public relations manager"
"Business","public relations officer"
"Business","public relations, advertising"
"Business","publicist"
"Business","publicist, journalist"
"Business","publicity advisor"
"Business","publicity man"
"Business","publisher, bookseller"
"Business","publisher, printer"
"Business","publisher, publicist"
"Business","publisher, writer"
"Business","publisher's representative"
"Business","publisher/editor"
"Business","publishers representative"
"Business","publishing"
"Business","publishing consultant"
"Business","publishing researcher"
"Business","pulpwood buyer"
"Business","purchaser"
"Business","radio advertising sales"
"Business","radio host (self-employed)"
"Business","radio manager"
"Business","radio sales"
"Business","radio station owner"
"Business","railway director"
"Business","real estate"
"Business","real estate & insurance broker"
"Business","real estate administrator"
"Business","real estate agent"
"Business","real estate agent and broker"
"Business","real estate agent, broker"
"Business","real estate and finance"
"Business","real estate and insurance"
"Business","real estate and insurance agent"
"Business","real estate appraiser"
"Business","real estate associate broker"
"Business","real estate broke/auctioneer"
"Business","real estate broker"
"Business","real estate broker, appraiser"
"Business","real estate broker, property manager"
"Business","real estate consultant"
"Business","real estate contractor"
"Business","real estate ES representative"
"Business","real estate manager"
"Business","real estate representative"
"Business","real estate sales"
"Business","real estate sales person"
"Business","real estate sales representative"
"Business","real estate sales, teacher"
"Business","real estate salesman"
"Business","real estate salesperson"
"Business","real estate vendor"
"Business","real estate, Member of Parliament"
"Business","real estate/insurance broker (retired)"
"Business","real estate/tourism"
"Business","real property appraiser"
"Business","real-estate broker"
"Business","realtor"
"Business","realtor and insurance"
"Business","realtor and insurance agent"
"Business","realtor, businessman"
"Business","realtor, trainer"
"Business","realtor/property manager"
"Business","realty sales"
"Business","receiver"
"Business","regional business manager"
"Business","regional director"
"Business","regional manager, sales"
"Business","registered insurance broke"
"Business","registered insurance broker"
"Business","representative"
"Business","research agent"
"Business","resort operator"
"Business","resort owner, manager"
"Business","restaurant manager"
"Business","restaurant operator"
"Business","restaurant owner"
"Business","restaurant owner, journalist"
"Business","restaurant proprietor"
"Business","restauranteur"
"Business","restaurateur"
"Business","retail automotive shop owner"
"Business","retail business"
"Business","retail consultant"
"Business","retail florist"
"Business","retail merchant"
"Business","retail merchant and auctioneer"
"Business","retail sales consultant"
"Business","retail salesman"
"Business","retailer"
"Business","retailer/gardener"
"Business","retired auctioneer"
"Business","retired auto dealer"
"Business","retired banker"
"Business","retired bookseller"
"Business","retired builder"
"Business","retired building contractor"
"Business","retired business owner"
"Business","retired business person"
"Business","retired businessman"
"Business","retired businessperson"
"Business","retired businesswoman"
"Business","retired contractor"
"Business","retired executive"
"Business","retired executive, GM"
"Business","retired financial analyst"
"Business","retired grain dealer"
"Business","retired manager"
"Business","retired manufacturer"
"Business","retired merchant"
"Business","retired prospector"
"Business","retired storekeeper"
"Business","roofing contractor"
"Business","route salesman"
"Business","RWV investment manager"
"Business","safety director"
"Business","sales & engineering manager"
"Business","sales & leasing consultant"
"Business","sales & marketing"
"Business","sales & marketing manager"
"Business","sales & promotion"
"Business","sales agent"
"Business","sales and distribution"
"Business","sales and leasing consultant"
"Business","sales and manufacturing manager"
"Business","sales and marketing"
"Business","sales and marketing associate"
"Business","sales and service"
"Business","sales assistant"
"Business","sales associate"
"Business","sales broker"
"Business","sales clerk"
"Business","sales co-ordinator"
"Business","sales consultant"
"Business","sales director"
"Business","sales executive"
"Business","sales manager"
"Business","sales manager and director"
"Business","sales office supervisor"
"Business","sales professional"
"Business","sales realtor"
"Business","sales representative"
"Business","sales specialist"
"Business","sales supervisor"
"Business","sales technician"
"Business","sales, owner"
"Business","sales, research"
"Business","sales, secretarial"
"Business","sales, theatre"
"Business","sales/marketing rep"
"Business","sales/student"
"Business","saleslady"
"Business","salesman"
"Business","salesman and public relations officer"
"Business","salesman, bus driver"
"Business","salesman, businessman"
"Business","salesman, buyer"
"Business","salesperson"
"Business","saleswoman"
"Business","salt manufacturer"
"Business","sawmill manager"
"Business","sawmill owner and operator"
"Business","school administrator (self-employed)"
"Business","school director"
"Business","secretary treasurer"
"Business","secretary, manager"
"Business","secretary, treasurer"
"Business","securities broker"
"Business","security advisor"
"Business","security agent"
"Business","security consultant"
"Business","security contractor"
"Business","security sales person"
"Business","seed merchant"
"Business","seigneur of Mille-Iles"
"Business","seigneur of Soulanges"
"Business","seismic drilling contractor"
"Business","self employed"
"Business","self employed - consultant"
"Business","self employed - student"
"Business","self employed (farmer)"
"Business","self employed advertising executive"
"Business","self employed businessman"
"Business","self employed carpenter"
"Business","self employed-entrepreneur"
"Business","self occupied"
"Business","self-employed"
"Business","self-employed - draftsman"
"Business","self-employed (contract research)"
"Business","self-employed auto dealer"
"Business","self-employed barber"
"Business","self-employed businessman"
"Business","self-employed Businessman/chartered accountant"
"Business","self-employed carpenter"
"Business","self-employed computer consultant"
"Business","self-employed construction supervisor"
"Business","self-employed consultant"
"Business","self-employed contractor"
"Business","self-employed farmer"
"Business","self-employed farrier"
"Business","self-employed furniture store owner"
"Business","self-employed insurance agent"
"Business","self-employed kitchen cabinet retailer"
"Business","self-employed lawyer"
"Business","self-employed property manager"
"Business","self-employed renovator"
"Business","self-employed salesman"
"Business","self-employed small businessman"
"Business","self-employed Transcendental Meditation"
"Business","self-employed welder"
"Business","self-employed worker"
"Business","self-employed, office services"
"Business","self-employed, sales"
"Business","self-employed, small business"
"Business","self-occupied"
"Business","semi-retired businessman"
"Business","semi-retired insurance agent"
"Business","seminar leader"
"Business","seminar leader, trainer"
"Business","senior account manager"
"Business","senior accounting officer"
"Business","senior administrator"
"Business","senior buyer"
"Business","senior executive"
"Business","senior executive finance & admin."
"Business","senior executive officer"
"Business","senior financial manager"
"Business","senior manager"
"Business","senior strategy analyst"
"Business","service sales representative"
"Business","service shop owner"
"Business","service station manager"
"Business","service station operator"
"Business","service station owner"
"Business","service station proprietor"
"Business","ship broker"
"Business","shipbuilding contractor"
"Business","shipowner"
"Business","shipper"
"Business","shoe retailer"
"Business","shoemaker"
"Business","shoemaker and beekeeper"
"Business","shopkeeper"
"Business","small business"
"Business","small business consultant"
"Business","small business entrepreneur"
"Business","small business owner"
"Business","small business owner/operator"
"Business","small business owner/part-time farmer"
"Business","small business partner"
"Business","small business partner/minister"
"Business","small business person"
"Business","small businessman"
"Business","small businessperson"
"Business","small holder"
"Business","social communicator"
"Business","social consultant"
"Business","social entrepreneurship consultant"
"Business","social work consultant"
"Business","social work technician"
"Business","software consultant"
"Business","software sales consultant"
"Business","software sales engineer"
"Business","software sales executive"
"Business","software salesman"
"Business","special event coordinator cbrm"
"Business","specialized consultant"
"Business","sport goods owner, retailer"
"Business","sports promoter"
"Business","sports technician"
"Business","stationer"
"Business","steamboat owner"
"Business","steel manufacturer"
"Business","steel salesman"
"Business","stock broker"
"Business","stockbroker"
"Business","stockman"
"Business","store manager"
"Business","store owner"
"Business","store planner"
"Business","storekeeper"
"Business","success coach"
"Business","summer resort operator"
"Business","summer resort owner"
"Business","supervisor"
"Business","supervisor, National Steel Car"
"Business","supervisor, steelmaker"
"Business","supply contractor"
"Business","sustainability consultant"
"Business","sustainable building advisor"
"Business","swimming pool sales agent"
"Business","synthetic lubrication sales"
"Business","tavern owner"
"Business","taxi business"
"Business","taxi owner"
"Business","terminal manager (trucking company)"
"Business","theme park developer"
"Business","tobacco wholesaler"
"Business","tour bus operator"
"Business","tour operator"
"Business","tourism consultant"
"Business","tourist guide"
"Business","tourist operator"
"Business","tourist Operator, farmer"
"Business","tourist resort operator"
"Business","toy distributor"
"Business","trader"
"Business","trader, tailor"
"Business","travel agency manager"
"Business","travel agent"
"Business","travel consultant"
"Business","traveller"
"Business","travelling salesman"
"Business","treasurer"
"Business","trust company manager"
"Business","trust officer"
"Business","underwriter"
"Business","underwriting supervisor"
"Business","unemployed bookseller"
"Business","unit manager (underwriting)"
"Business","used car salesman"
"Business","v.p. marketing"
"Business","v.p. sales"
"Business","vendor (heating)"
"Business","vice president"
"Business","vice president marketing"
"Business","vice-president"
"Business","vice-president public affairs"
"Business","vice-president, corporate planning"
"Business","vice-president, development"
"Business","vice-president, executive recruiting"
"Business","vice-president, finance"
"Business","vice-president, manufacturing"
"Business","vice-president, marketing, Lavelin Inc."
"Business","vice-president, public affairs"
"Business","vice-president, sales"
"Business","watchmaker"
"Business","watchmaker and jeweller"
"Business","wholesale dealer"
"Business","wholesale distributor"
"Business","wholesale food merchant"
"Business","wholesale grocer"
"Business","wholesale manager"
"Business","wholesale merchant"
"Business","wholesale shoe merchant"
"Business","wholesaler"
"Business","wind power developer"
"Business","wireless sales rep."
"Business","wood dealer"
"Business","workshop facilitator"
"Civil Servant","activist"
"Civil Servant","activist, recycler"
"Civil Servant","activities director"
"Civil Servant","activity co-ordinator"
"Civil Servant","addiction services community educator"
"Civil Servant","addiction worker"
"Civil Servant","addictions assistant"
"Civil Servant","administrative judge"
"Civil Servant","administrative officer"
"Civil Servant","administrator"
"Civil Servant","administrator and social worker"
"Civil Servant","administrator burnaby school board"
"Civil Servant","administrator C.G.A."
"Civil Servant","administrator of clsc"
"Civil Servant","administrator of health services"
"Civil Servant","administrator, community worker"
"Civil Servant","administrator, lawyer"
"Civil Servant","administrator, manager"
"Civil Servant","administrator, marketing"
"Civil Servant","administrator, social worker"
"Civil Servant","administrator, writer"
"Civil Servant","admitting officer"
"Civil Servant","adult education administrator"
"Civil Servant","advisor"
"Civil Servant","advisor to small businesses"
"Civil Servant","advisor to the Prime Minister"
"Civil Servant","agricultural co-ordinator"
"Civil Servant","aid consultant"
"Civil Servant","airport coordinator"
"Civil Servant","Alberta Development co-ordinator"
"Civil Servant","alderman"
"Civil Servant","alderman and realtor"
"Civil Servant","alderman, businessman"
"Civil Servant","alderman, City of Etobicoke"
"Civil Servant","alderman, lawyer"
"Civil Servant","animal and environmental protection"
"Civil Servant","animal control"
"Civil Servant","animal protection & environmental work"
"Civil Servant","anti-poverty advocate"
"Civil Servant","aon-profit project coordinator"
"Civil Servant","arbitrator"
"Civil Servant","arbitrator, mediator"
"Civil Servant","archivist"
"Civil Servant","archivist, city of Winnipeg"
"Civil Servant","area director, CAW"
"Civil Servant","arts administrator"
"Civil Servant","arts administrator, councillor"
"Civil Servant","assistant and political attach�"
"Civil Servant","assistant special House of Commons"
"Civil Servant","assistant to Minister of Health"
"Civil Servant","assistant to Minister of the Environment"
"Civil Servant","assistant to MPP"
"Civil Servant","assistant to PC party leader"
"Civil Servant","assistant to provincial premier"
"Civil Servant","assitant director community justice"
"Civil Servant","bailiff"
"Civil Servant","band administrator"
"Civil Servant","band chief"
"Civil Servant","Bureau du Qu�bec head of mission"
"Civil Servant","cabinet leader"
"Civil Servant","campaigner for non-profit organization"
"Civil Servant","Canadian Labour Congress representative"
"Civil Servant","candidate"
"Civil Servant","Central Woman's organizer"
"Civil Servant","chairperson, board of education"
"Civil Servant","chief"
"Civil Servant","chief clerk"
"Civil Servant","chief elected officer"
"Civil Servant","chief of communications"
"Civil Servant","chief of hydro division"
"Civil Servant","chief of staff"
"Civil Servant","chief of staff - MROC"
"Civil Servant","chief supervisor"
"Civil Servant","chief, Fairford"
"Civil Servant","chief, Nelson House band"
"Civil Servant","city administrator"
"Civil Servant","city clerk"
"Civil Servant","city councillor"
"Civil Servant","city councillor/lawyer"
"Civil Servant","city employee"
"Civil Servant","city planner"
"Civil Servant","civic employee"
"Civil Servant","civil rights activist"
"Civil Servant","civil servant"
"Civil Servant","commissionaire"
"Civil Servant","commissioner"
"Civil Servant","communications adviser"
"Civil Servant","communications advisor"
"Civil Servant","Communist party leader"
"Civil Servant","community activist"
"Civil Servant","community advocate"
"Civil Servant","community assistant"
"Civil Servant","community college professor"
"Civil Servant","community college worker"
"Civil Servant","community consultant"
"Civil Servant","community coordinator"
"Civil Servant","community developer"
"Civil Servant","community development"
"Civil Servant","community development consultant"
"Civil Servant","community development officer"
"Civil Servant","community development organizer"
"Civil Servant","community development worker"
"Civil Servant","community education worker"
"Civil Servant","community environmental advocate"
"Civil Servant","community facilitator"
"Civil Servant","community health worker"
"Civil Servant","community lawyer"
"Civil Servant","community legal clinic worker"
"Civil Servant","community legal worker"
"Civil Servant","community liaison coordinator"
"Civil Servant","community organizer"
"Civil Servant","community planner"
"Civil Servant","community resource co-ordinator"
"Civil Servant","community resource worker"
"Civil Servant","community service advocate"
"Civil Servant","community service volunteer"
"Civil Servant","community service worker"
"Civil Servant","community services manager"
"Civil Servant","community support worker"
"Civil Servant","community volunteer"
"Civil Servant","community volunteer, care giver"
"Civil Servant","community volunteer, caregiver"
"Civil Servant","community wellness counsellor"
"Civil Servant","community worker"
"Civil Servant","community worker & administrator"
"Civil Servant","conservation officer"
"Civil Servant","constituency assistant"
"Civil Servant","constituency liaison"
"Civil Servant","consul"
"Civil Servant","coordinator of parliamentary business"
"Civil Servant","coordinator, government relations"
"Civil Servant","correctional administrator"
"Civil Servant","correctional officer"
"Civil Servant","correctional program officer"
"Civil Servant","correctional service"
"Civil Servant","correctional services"
"Civil Servant","corrections officer"
"Civil Servant","corrections worker"
"Civil Servant","council leader"
"Civil Servant","councillor"
"Civil Servant","counsellor, advocate"
"Civil Servant","counsellor, Anishnabe Cree First Nation"
"Civil Servant","county clerk"
"Civil Servant","county office assistant"
"Civil Servant","court commissioner"
"Civil Servant","court corker"
"Civil Servant","court interpreter, translator"
"Civil Servant","court reporter"
"Civil Servant","court services officer"
"Civil Servant","court transcriptionist"
"Civil Servant","crime prevention project officer"
"Civil Servant","crown attorney"
"Civil Servant","crown employee"
"Civil Servant","crown lands agent"
"Civil Servant","Crown prosecutor"
"Civil Servant","CUPE staff representative"
"Civil Servant","custom home builder"
"Civil Servant","custom house broker"
"Civil Servant","customs broker"
"Civil Servant","customs inspector"
"Civil Servant","customs officer"
"Civil Servant","customs rater"
"Civil Servant","department manager, not-for-profit"
"Civil Servant","department supervisor"
"Civil Servant","deputy municipal clerk"
"Civil Servant","diplomat"
"Civil Servant","diplomat and academic"
"Civil Servant","driver's licence examiner"
"Civil Servant","economic development officer"
"Civil Servant","elected municipal official"
"Civil Servant","elected official"
"Civil Servant","elected representative"
"Civil Servant","election organizer"
"Civil Servant","electrical inspector"
"Civil Servant","employment relations officer"
"Civil Servant","energy advisor"
"Civil Servant","environmental health officer"
"Civil Servant","environmental inspector"
"Civil Servant","environmental officer"
"Civil Servant","environmental project officer"
"Civil Servant","environmental protection officer"
"Civil Servant","ex-civil servant"
"Civil Servant","ex-magistrate"
"Civil Servant","ex-Member of Parliament"
"Civil Servant","ex-Premier of Quebec"
"Civil Servant","ex-public servant"
"Civil Servant","executive assistant to former P.M."
"Civil Servant","executive assistant to the Minister of State"
"Civil Servant","executive director"
"Civil Servant","executive Director - NGO"
"Civil Servant","executive director CHP"
"Civil Servant","executive director for family services"
"Civil Servant","executive director international markets"
"Civil Servant","executive director of assoc. of Yukon communities"
"Civil Servant","executive director, non-profit organization"
"Civil Servant","executive director, social service agency"
"Civil Servant","executive director, WASAC"
"Civil Servant","executive/legislative assistant"
"Civil Servant","external relations agent"
"Civil Servant","external relations officer"
"Civil Servant","facilitator"
"Civil Servant","federal cabinet minister"
"Civil Servant","federal legislative assistant"
"Civil Servant","federal peace officer"
"Civil Servant","federal public servant"
"Civil Servant","federal-provincial co-ordinator"
"Civil Servant","fire fighter"
"Civil Servant","fire inspector"
"Civil Servant","fire prevention officer"
"Civil Servant","fire protection engineer"
"Civil Servant","fire protection officer"
"Civil Servant","fire service"
"Civil Servant","firefighter"
"Civil Servant","firefighter paramedic"
"Civil Servant","fireman"
"Civil Servant","flood committee co-organizer"
"Civil Servant","foreign policy consultant"
"Civil Servant","foreign service officer"
"Civil Servant","former chief of police"
"Civil Servant","former civil servant"
"Civil Servant","former M.H.A."
"Civil Servant","former mayor"
"Civil Servant","former MLA"
"Civil Servant","former MPP"
"Civil Servant","foster parent - support worker"
"Civil Servant","freelance, industrial relations"
"Civil Servant","FTQ regional adviser"
"Civil Servant","full-time volunteer"
"Civil Servant","general secretary"
"Civil Servant","general secretary of C.P.C."
"Civil Servant","government and business policy advisor"
"Civil Servant","government relations advisor"
"Civil Servant","government relations manager"
"Civil Servant","governor of the Hudson's Bay Company"
"Civil Servant","H.E.P.C. of Ontario operator"
"Civil Servant","health inspector"
"Civil Servant","housewife, activist"
"Civil Servant","housewife, alderman"
"Civil Servant","immigration consultant"
"Civil Servant","immigration officer"
"Civil Servant","incumbent M.P."
"Civil Servant","institutional parole officer"
"Civil Servant","judge"
"Civil Servant","jurist"
"Civil Servant","justice development officer"
"Civil Servant","labour consultant"
"Civil Servant","labour economist"
"Civil Servant","labour educator"
"Civil Servant","labour executive"
"Civil Servant","labour journalist"
"Civil Servant","labour law consultant"
"Civil Servant","labour leader"
"Civil Servant","labour manager"
"Civil Servant","labour negotiator"
"Civil Servant","labour organization president"
"Civil Servant","labour organizer"
"Civil Servant","labour relations"
"Civil Servant","labour relations consultant"
"Civil Servant","labour relations manager"
"Civil Servant","labour relations officer"
"Civil Servant","labour relations representative"
"Civil Servant","labour relations, human resources"
"Civil Servant","labour representative"
"Civil Servant","labour researcher"
"Civil Servant","labour secretary"
"Civil Servant","leader"
"Civil Servant","leader of political party"
"Civil Servant","leader of Reconstruction Party"
"Civil Servant","leader of the Canadian Alliance"
"Civil Servant","leader of the Opposition"
"Civil Servant","leader, federal political party"
"Civil Servant","leader, Green Party of Canada"
"Civil Servant","legislative assistant"
"Civil Servant","legislative secretary"
"Civil Servant","legislator"
"Civil Servant","letter carrier"
"Civil Servant","liaison"
"Civil Servant","liaison officer"
"Civil Servant","liaison, psychotherapist"
"Civil Servant","librarian"
"Civil Servant","library assistant"
"Civil Servant","lieutenant detective"
"Civil Servant","local government advisor"
"Civil Servant","local labour leader"
"Civil Servant","local representative"
"Civil Servant","Lord mayor"
"Civil Servant","M.P., realtor and insurance agent"
"Civil Servant","M.P., school administrator"
"Civil Servant","M�tis leader"
"Civil Servant","magistrate"
"Civil Servant","majesty's counsel"
"Civil Servant","manager and Member of Parliament"
"Civil Servant","manager of labour temple"
"Civil Servant","manager, mayor"
"Civil Servant","manager, municipal/aboriginal relations"
"Civil Servant","marijuana party president"
"Civil Servant","marriage commissioner"
"Civil Servant","mayor"
"Civil Servant","mayor - transport company owner"
"Civil Servant","mayor of Chelsea"
"Civil Servant","mayor of Haldimand"
"Civil Servant","mayor of Squamish"
"Civil Servant","mayor, businessman"
"Civil Servant","mayor, city of Brandon"
"Civil Servant","mayor, city of Kamloops"
"Civil Servant","mayor, journalist"
"Civil Servant","Member of House of Commons"
"Civil Servant","Member of Parliament"
"Civil Servant","Member of Parliament and business agent"
"Civil Servant","Member of Parliament and farmer"
"Civil Servant","Member of Parliament and Minister"
"Civil Servant","Member of Parliament, electrician"
"Civil Servant","Member of Parliament, farmer"
"Civil Servant","Member of Parliament, lawyer"
"Civil Servant","Member of Parliament, Minister of State"
"Civil Servant","Member of Parliament, orthopedic surgeon"
"Civil Servant","Member of Parliament, physician"
"Civil Servant","mental health program contracts coordinator"
"Civil Servant","mental health worker"
"Civil Servant","mental retardation worker"
"Civil Servant","metro councillor"
"Civil Servant","mining inspector"
"Civil Servant","minister  Minister of the Crown"
"Civil Servant","Minister of Agriculture"
"Civil Servant","Minister of Customs and Excise"
"Civil Servant","Minister of Finance"
"Civil Servant","Minister of Fisheries"
"Civil Servant","Minister of Fisheries & Oceans"
"Civil Servant","Minister of Forestry"
"Civil Servant","Minister of Health"
"Civil Servant","Minister of Industry"
"Civil Servant","Minister of Interior"
"Civil Servant","Minister of International Trade"
"Civil Servant","Minister of Justice"
"Civil Servant","Minister of Labour"
"Civil Servant","Minister of Labour and Mines"
"Civil Servant","Minister of Mines and Resources"
"Civil Servant","Minister of Mines and Technical Surveys"
"Civil Servant","Minister of National Defence"
"Civil Servant","Minister of National Defence for Naval Service"
"Civil Servant","Minister of National Health and Welfare"
"Civil Servant","Minister of National Revenue"
"Civil Servant","Minister of National War Services"
"Civil Servant","Minister of Public Works"
"Civil Servant","Minister of Railways and Canals"
"Civil Servant","Minister of State"
"Civil Servant","Minister of Supply and Services"
"Civil Servant","Minister of Supply and Services, Public Works"
"Civil Servant","Minister of the Crown"
"Civil Servant","Minister of the Interior"
"Civil Servant","Minister of Trade and Commerce"
"Civil Servant","Minister of Transport"
"Civil Servant","Minister of Veterans Affairs"
"Civil Servant","Ministry of Labour"
"Civil Servant","mla assistant"
"Civil Servant","municipal administrator"
"Civil Servant","municipal civil servant"
"Civil Servant","municipal clerk"
"Civil Servant","municipal councillor"
"Civil Servant","municipal councillor - customer service rep."
"Civil Servant","municipal councillor/journalist"
"Civil Servant","municipal employee"
"Civil Servant","municipal engineer"
"Civil Servant","municipal inspector"
"Civil Servant","municipal lawyer"
"Civil Servant","municipal officer"
"Civil Servant","municipal politician"
"Civil Servant","municipal prosecutor"
"Civil Servant","municipal public servant"
"Civil Servant","municipal secretary"
"Civil Servant","municipal secretary treasurer"
"Civil Servant","municipal secretary, treasurer"
"Civil Servant","municipal worker"
"Civil Servant","museum gallery interpreter"
"Civil Servant","national leader"
"Civil Servant","national leader of NDP"
"Civil Servant","national leader/green party"
"Civil Servant","national organizing assistant"
"Civil Servant","national party leader of Christian Heritage Party"
"Civil Servant","national political organizer"
"Civil Servant","national rep.--Engy--Chem. Wrkrs"
"Civil Servant","national representative"
"Civil Servant","national representative CAW"
"Civil Servant","native representative"
"Civil Servant","negotiator"
"Civil Servant","northern community development economist"
"Civil Servant","occupational health & safety co-ordinator"
"Civil Servant","occupational health and environmental safety"
"Civil Servant","officer, correctional services"
"Civil Servant","Ontario campaign manager"
"Civil Servant","organization co-ordinator"
"Civil Servant","organization director"
"Civil Servant","organizational ethics consultant"
"Civil Servant","organizational secretary"
"Civil Servant","outreach & information Coordinator"
"Civil Servant","outreach Worker"
"Civil Servant","park development officer"
"Civil Servant","parks manager"
"Civil Servant","parliamentarian"
"Civil Servant","parliamentarian - cattle producer"
"Civil Servant","parliamentarian - farmer"
"Civil Servant","parliamentarian - lawyer"
"Civil Servant","parliamentarian / businessman"
"Civil Servant","parliamentarian staff"
"Civil Servant","parliamentarian/business owner"
"Civil Servant","parliamentarian/farmer"
"Civil Servant","parliamentarian/lawyer"
"Civil Servant","parliamentarian/notary"
"Civil Servant","parliamentary assist"
"Civil Servant","parliamentary assistant"
"Civil Servant","parlimentarian"
"Civil Servant","parole Officer"
"Civil Servant","party leader"
"Civil Servant","party worker"
"Civil Servant","peace officer"
"Civil Servant","police chief"
"Civil Servant","police chief (retired)"
"Civil Servant","police officer"
"Civil Servant","police officer, retired"
"Civil Servant","policeman"
"Civil Servant","policy advisor"
"Civil Servant","policy advisor/small business person"
"Civil Servant","policy analyst"
"Civil Servant","policy architect"
"Civil Servant","policy consultant"
"Civil Servant","policy research officer"
