"NormalisedOccupation","Occupation"
"Arts and Culture","media consultant"
"Arts and Culture","media producer"
"Arts and Culture","mother/photographer"
"Arts and Culture","multimedia artist"
"Arts and Culture","multimedia producer"
"Arts and Culture","musician"
"Arts and Culture","musician, band leader"
"Arts and Culture","musician, piano technician"
"Arts and Culture","musician/author-composer"
"Arts and Culture","musician/entertainer"
"Arts and Culture","musician/farmer"
"Arts and Culture","news editor"
"Arts and Culture","newscaster"
"Arts and Culture","newsman"
"Arts and Culture","newspaper columnist"
"Arts and Culture","newspaper editor"
"Arts and Culture","newspaper editor and publisher"
"Arts and Culture","newspaper reporter"
"Arts and Culture","novelist"
"Arts and Culture","organist"
"Arts and Culture","painter"
"Arts and Culture","painter and decorator"
"Arts and Culture","painter artist"
"Arts and Culture","performer"
"Arts and Culture","performer, speech and drama instructor"
"Arts and Culture","playwright"
"Arts and Culture","poet"
"Arts and Culture","political poet"
"Arts and Culture","political T.V. journalist"
"Arts and Culture","pro-wrestler"
"Arts and Culture","producer"
"Arts and Culture","producer / director"
"Arts and Culture","producer/broker"
"Arts and Culture","producer/consultant"
"Arts and Culture","producer/director/writer"
"Arts and Culture","product development manager"
"Arts and Culture","production agent"
"Arts and Culture","professional athlete"
"Arts and Culture","professional hockey player"
"Arts and Culture","professional photographer"
"Arts and Culture","proof reader, journalist"
"Arts and Culture","publisher"
"Arts and Culture","radio and T.V. broadcaster"
"Arts and Culture","radio and television announcer"
"Arts and Culture","radio animator"
"Arts and Culture","radio announcer"
"Arts and Culture","radio announcer/columnist"
"Arts and Culture","radio broadcaster"
"Arts and Culture","radio commentator"
"Arts and Culture","radio host"
"Arts and Culture","radio journalist"
"Arts and Culture","radio news editor"
"Arts and Culture","radio personality, sales"
"Arts and Culture","reporter"
"Arts and Culture","retired broadcaster"
"Arts and Culture","retired musician"
"Arts and Culture","retired newspaper publisher"
"Arts and Culture","revolutionary journalist"
"Arts and Culture","sculptor"
"Arts and Culture","sculptor, painter"
"Arts and Culture","sign and pictorial artist"
"Arts and Culture","singer"
"Arts and Culture","social animator"
"Arts and Culture","social worker and journalist"
"Arts and Culture","songwriter"
"Arts and Culture","sports writer"
"Arts and Culture","story teller"
"Arts and Culture","T.V. broadcaster"
"Arts and Culture","T.V. production manager"
"Arts and Culture","talent agent"
"Arts and Culture","talk show host"
"Arts and Culture","theatre director"
"Arts and Culture","theatre director and teacher"
"Arts and Culture","theatre manager"
"Arts and Culture","theatre owner"
"Arts and Culture","theme park director"
"Arts and Culture","tv and radio operator"
"Arts and Culture","umpire"
"Arts and Culture","unemployed journalist"
"Arts and Culture","video producer"
"Arts and Culture","video production director"
"Arts and Culture","video production technician"
"Arts and Culture","video/multi-media producer"
"Arts and Culture","visual artist"
"Arts and Culture","visual performance artist"
"Arts and Culture","washboard player"
"Arts and Culture","writer"
"Arts and Culture","writer - lecturer"
"Arts and Culture","writer and broadcaster"
"Arts and Culture","writer and labour lecturer"
"Arts and Culture","writer and teacher"
"Arts and Culture","writer journalist"
"Arts and Culture","writer-translator"
"Arts and Culture","writer, actor"
"Arts and Culture","writer, animator"
"Arts and Culture","writer, author, publisher"
"Arts and Culture","writer, broadcaster"
"Arts and Culture","writer, columnist"
"Arts and Culture","writer, composer"
"Arts and Culture","writer, designer"
"Arts and Culture","writer, historian"
"Arts and Culture","writer, labourer"
"Arts and Culture","writer, lecturer"
"Arts and Culture","writer, musician"
"Arts and Culture","writer, photographer"
"Arts and Culture","writer, researcher"
"Arts and Culture","writer, researcher, party leader"
"Arts and Culture","writer, translator, medical photographer"
"Arts and Culture","writer, tutor"
"Arts and Culture","writer/author"
"Arts and Culture","writer/editor"
"Arts and Culture","writer/musician"
"Arts and Culture","writer/photographer"
"Arts and Culture","writer/producer"
"Arts and Culture","writer/researcher"
"Arts and Culture","writer/social activist"
"Arts and Culture","writer/waitress"
"Business","automobile consultant"
"Business","automobile dealer"
"Business","automobile distributor"
"Business","automotive dealer"
"Business","A&W franchisee"
"Business","account executive"
"Business","account manager"
"Business","account manager - student"
"Business","account representative"
"Business","accounts administrator"
"Business","accounts clerk"
"Business","accounts executive"
"Business","accounts manager"
"Business","administrator (self-employed)"
"Business","adventure tourism"
"Business","advertising"
"Business","advertising account executive"
"Business","advertising accounting executive"
"Business","advertising agent"
"Business","advertising assistant"
"Business","advertising consultant"
"Business","advertising copywriter"
"Business","advertising director"
"Business","advertising executive"
"Business","advertising manager"
"Business","advertising representative"
"Business","advertising salesman"
"Business","advertising writer"
"Business","affiliated real estate broker"
"Business","agency director"
"Business","agent and dealer"
"Business","agent and farmer"
"Business","agent, agriculturist"
"Business","agent, broker"
"Business","agent, salesman"
"Business","agricultural banker"
"Business","agricultural exporter"
"Business","agricultural manufacturer"
"Business","agricultural merchant"
"Business","agriculture, business"
"Business","all-Canadian business consultant"
"Business","antique dealer"
"Business","antique merchant"
"Business","apartment owner"
"Business","apprenticeship and skills training manager"
"Business","apprenticeship consultant"
"Business","art dealer"
"Business","association director"
"Business","association executive"
"Business","auctioneer"
"Business","auctioneer and rancher"
"Business","auctioneer, author"
"Business","auto dealer"
"Business","b & b owner"
"Business","band manager"
"Business","bank development officer"
"Business","bank manager"
"Business","bank representative"
"Business","banker"
"Business","banking"
"Business","bicycle mechanic/sculptor"
"Business","bond dealer"
"Business","book distributor"
"Business","book merchant"
"Business","book publisher"
"Business","bookstore owner"
"Business","bookstore proprietor"
"Business","brewer"
"Business","broker"
"Business","broker and accountant"
"Business","broker, real estate"
"Business","brokerage firm agent"
"Business","brokerage manager"
"Business","bus operator"
"Business","bus owner"
"Business","business"
"Business","business - estimator"
"Business","business administration consultant"
"Business","business administrator"
"Business","business advisor"
"Business","business agent"
"Business","business analyst"
"Business","business and legal administrator"
"Business","business broker"
"Business","business coach/trainer"
"Business","business college owner"
"Business","business consultant"
"Business","business consultant and writer"
"Business","business consultant/statistician"
"Business","business developer"
"Business","business development consultant"
"Business","business development manager"
"Business","business director"
"Business","business executive"
"Business","business executive, retired"
"Business","business intelligence specialist"
"Business","business lobbyist"
"Business","business management"
"Business","business management,"
"Business","business manager"
"Business","business manager - consultant"
"Business","business operations director"
"Business","business owner"
"Business","business owner (computers)"
"Business","business owner, consultant"
"Business","business owner, manager"
"Business","business owner, transportation"
"Business","business owner/graphic designer"
"Business","business owner/insurance agent"
"Business","business owner/manager"
"Business","business owner/operator"
"Business","business owner/photographer"
"Business","business owner/salesperson"
"Business","business partner"
"Business","business person"
"Business","business person (self-employed)"
"Business","business person-financial services"
"Business","business person/farmer"
"Business","business person/senior director"
"Business","business proprietor"
"Business","business representative"
"Business","business solutions specialist"
"Business","business teacher"
"Business","business technologist"
"Business","business woman"
"Business","business woman/homemaker"
"Business","businessman"
"Business","businessman (agriculture)"
"Business","businessman and farmer"
"Business","businessman and rancher"
"Business","businessman, academic"
"Business","businessman, administrator"
"Business","businessman, civil engineer"
"Business","businessman, consultant"
"Business","businessman, educator"
"Business","businessman, environmentalist"
"Business","businessman, farmer"
"Business","businessman, lawyer"
"Business","businessman, leader of party"
"Business","businessman, mayor"
"Business","businessman, Member of Parliament"
"Business","businessman, school bus company"
"Business","businessman, self-employed"
"Business","businessman/ceo"
"Business","businessman/innkeeper"
"Business","businessman/mayor"
"Business","businessman/truck driver"
"Business","businessperson"
"Business","businessperson, author"
"Business","businesswoman"
"Business","businesswoman, administrator"
"Business","businesswoman, farmer"
"Business","businesswoman, realtor"
"Business","businesswoman/consultant"
"Business","buyer"
"Business","buyer, salesman"
"Business","camp operator"
"Business","camp owner"
"Business","Canadian co-ordinator"
"Business","car dealer"
"Business","car dealership"
"Business","car inspector"
"Business","car man"
"Business","car sales"
"Business","car salesman"
"Business","cattle dealer and merchant"
"Business","CEO"
"Business","CEO - administrator"
"Business","cep national rep"
"Business","certified management"
"Business","CGA"
"Business","chairman O.R.C."
"Business","chairman of C.F.U. insurance"
"Business","chairman of the board"
"Business","chartered accountant/commercial mediator"
"Business","chartered appraiser"
"Business","chartered Financial Analyst"
"Business","chartered financial consultant"
"Business","chartered financial planner"
"Business","chartered life underwriter"
"Business","chief administrative"
"Business","chief executive"
"Business","chief operations officer"
"Business","clothing merchant"
"Business","CMA-FCMA, businessman"
"Business","co-operative representative"
"Business","coal and wood merchant"
"Business","coal dealer"
"Business","coal merchant"
"Business","coffee house proprietor"
"Business","collection officer"
"Business","collective agreement analyst"
"Business","collector"
"Business","commercial banker"
"Business","commercial consultant"
"Business","commercial credit (small business)"
"Business","commercial director"
"Business","commercial realtor"
"Business","commercial traveller"
"Business","commission agent"
"Business","commission and insurance agent"
"Business","commission broker"
"Business","commission merchant"
"Business","commission sales"
"Business","commodities broker"
"Business","commodities futures broker"
"Business","commodity trader"
"Business","communications and events coordinator"
"Business","communications and marketing consultant"
"Business","communications and public affairs"
"Business","communications and sustainable development consultant"
"Business","communications co-ordinator"
"Business","communications company owner"
"Business","company agent"
"Business","company chairman"
"Business","company director"
"Business","company head"
"Business","company manager"
"Business","company president"
"Business","company president & Member of Parliament"
"Business","compliance officer"
"Business","computer businessman"
"Business","computer consultant"
"Business","conference co-ordinator"
"Business","conference lecturer"
"Business","conference organizer"
"Business","consultant"
"Business","consultant - H.R.D."
"Business","consultant - project manager"
"Business","consultant (health-education)"
"Business","consultant / researcher / waiter"
"Business","consultant in communication"
"Business","consultant in publishing"
"Business","consultant-advocate"
"Business","consultant, aboriginal rights environmental"
"Business","consultant, farmer"
"Business","consultant, industrial economics"
"Business","consultant, management"
"Business","consultant, self-employed"
"Business","consultant, services"
"Business","consultant, therapist"
"Business","consultant, trainer"
"Business","consultant/business owner"
"Business","consultant/e-j"
"Business","consultant/project manager"
"Business","consulting administrator"
"Business","consulting petroleum engineer"
"Business","consumer advocate"
"Business","consumer services"
"Business","contractor"
"Business","contractor - ski instructor"
"Business","contractor and farmer"
"Business","contractor, administrator"
"Business","contractor, distributor"
"Business","contractor, farmer"
"Business","contractor, merchant"
"Business","contractor, transportation"
"Business","contractor/administrator"
"Business","controller"
"Business","controller/business person/accountant"
"Business","coordinator of adjustment center"
"Business","corporate - president"
"Business","corporate administrator"
"Business","corporate advisor"
"Business","corporate affairs co-ordinator"
"Business","corporate affairs consultant"
"Business","corporate chaplain"
"Business","corporate communications"
"Business","corporate director"
"Business","corporate director & investor"
